Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete cell retina decreased amount, abnormal	rdfs:label	obsolete cell retina decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete cytoskeletal anchoring at plasma membrane decreased process quality, abnormal	rdfs:label	obsolete cytoskeletal anchoring at plasma membrane decreased process quality, abnormal
ERROR	misused_obsolete_label	obsolete cell retinal inner nuclear layer decreased amount, abnormal	rdfs:label	obsolete cell retinal inner nuclear layer decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete cytoskeletal anchoring at plasma membrane increased process quality, abnormal	rdfs:label	obsolete cytoskeletal anchoring at plasma membrane increased process quality, abnormal
ERROR	misused_obsolete_label	obsolete cell head apoptotic, abnormal	rdfs:label	obsolete cell head apoptotic, abnormal
ERROR	misused_obsolete_label	obsolete cell EVL morphology, abnormal	rdfs:label	obsolete cell EVL morphology, abnormal
ERROR	misused_obsolete_label	obsolete cell parapineal organ mislocalised, abnormal	rdfs:label	obsolete cell parapineal organ mislocalised, abnormal
ERROR	misused_obsolete_label	obsolete cell retinal pigmented epithelium morphology, abnormal	rdfs:label	obsolete cell retinal pigmented epithelium morphology, abnormal
ERROR	misused_obsolete_label	obsolete cell forerunner cell group decreased amount, abnormal	rdfs:label	obsolete cell forerunner cell group decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete multi-organism behaviormulti-organism behavior process quality, abnormal	rdfs:label	obsolete multi-organism behaviormulti-organism behavior process quality, abnormal
ERROR	misused_obsolete_label	obsolete cell epicardium spatial pattern, abnormal	rdfs:label	obsolete cell epicardium spatial pattern, abnormal
ERROR	misused_obsolete_label	obsolete plasma membrane part of cell junction compact layer of ventricle oblique orientation, abnormal	rdfs:label	obsolete plasma membrane part of cell junction compact layer of ventricle oblique orientation, abnormal
ERROR	misused_obsolete_label	obsolete cell lens disorganized, abnormal	rdfs:label	obsolete cell lens disorganized, abnormal
ERROR	misused_obsolete_label	obsolete cell notochord cuboid, abnormal	rdfs:label	obsolete cell notochord cuboid, abnormal
ERROR	missing_ontology_description	obo:zp.owl	dc11:description	
ERROR	duplicate_label	hair cell anterior macula decreased amount, abnormal	rdfs:label	hair cell anterior macula decreased amount, abnormal
ERROR	duplicate_label	hair cell anterior macula decreased amount, abnormal	rdfs:label	hair cell anterior macula decreased amount, abnormal
ERROR	missing_ontology_license	obo:zp.owl	dc:license	
ERROR	missing_ontology_title	obo:zp.owl	dc11:title	
WARN	missing_definition	Zebrafish Phenotype	IAO:0000115	
WARN	missing_obsolete_label	0-0-ZFA:0009091-PATO:0002269-BSPO:0000099-BFO:0000050-ZFA:0000051	rdfs:label	<0-0-ZFA:0009091-PATO:0002269-BSPO:0000099-BFO:0000050-ZFA:0000051>
WARN	missing_obsolete_label	0-0-ZFA:0000152-PATO:0002463-BSPO:0000099-BFO:0000050-ZFA:0000107	rdfs:label	<0-0-ZFA:0000152-PATO:0002463-BSPO:0000099-BFO:0000050-ZFA:0000107>
WARN	missing_obsolete_label	BSPO:0000120-BFO:0000050-ZFA:0000121-PATO:0000462-0-0-0	rdfs:label	<http://purl.obolibrary.org/obo/BSPO_0000120-BFO:0000050-ZFA:0000121-PATO:0000462-0-0-0>
